"muni","numRooms","rentcount","meanrent","medrent"
"ABINGTON",2,11,2510,2500
"ABINGTON",3,1,3000,3000
"ACTON",0,1,1695,1695
"ACTON",1,11,2383,2050
"ACTON",2,15,2862,2800
"ACTON",3,9,3925,3715
"ACTON",4,4,4525,4500
"AMESBURY",0,1,1950,1950
"AMESBURY",1,1,1379,1379
"AMESBURY",2,3,2417,2450
"AMESBURY",3,2,3200,3200
"ANDOVER",0,2,1495,1495
"ANDOVER",1,11,1909,1750
"ANDOVER",2,10,2732,2900
"ANDOVER",3,4,4575,4100
"ANDOVER",4,1,5150,5150
"ARLINGTON",0,26,2024,1898
"ARLINGTON",1,129,2399,2275
"ARLINGTON",2,82,3053,2850
"ARLINGTON",3,31,4332,3800
"ARLINGTON",4,15,4857,4400
"ARLINGTON",5,3,8543,6880
"ARLINGTON",6,5,6980,4450
"ASHLAND",1,3,2017,1850
"ASHLAND",2,6,2567,2625
"ASHLAND",3,3,2982,3400
"ATTLEBORO",2,7,2176,2195
"ATTLEBORO",3,3,2433,2400
"AUBURN",2,1,1734,1734
"AVON",1,2,1688,1688
"AYER",1,4,1538,1500
"AYER",2,4,2106,2212
"BEDFORD",0,1,1800,1800
"BEDFORD",1,7,2641,2716
"BEDFORD",2,16,3283,2850
"BEDFORD",3,6,4166,4200
"BEDFORD",4,2,5225,5225
"BELLINGHAM",2,3,2533,2500
"BELMONT",0,11,2170,2300
"BELMONT",1,26,2355,2325
"BELMONT",2,95,2938,2900
"BELMONT",3,32,3826,3500
"BELMONT",4,7,4221,3950
"BELMONT",5,2,7250,7250
"BELMONT",6,2,13498,13498
"BEVERLY",0,1,2200,2200
"BEVERLY",1,12,2055,2032
"BEVERLY",2,33,2667,2600
"BEVERLY",3,9,3839,3100
"BEVERLY",5,1,5000,5000
"BILLERICA",0,2,1525,1525
"BILLERICA",1,13,2121,2175
"BILLERICA",2,18,2924,2659
"BILLERICA",3,4,3400,3675
"BILLERICA",4,1,5000,5000
"BLACKSTONE",1,2,1450,1450
"BLACKSTONE",3,3,2300,2300
"BLACKSTONE",4,3,3600,4000
"BOLTON",1,5,2209,1995
